country,population,number_of_high_quality_articles
Afghanistan,42400000.0,3.0
Albania,2700000.0,7.0
Algeria,46800000.0,1.0
Angola,36700000.0,2.0
Antigua and Barbuda,100000.0,0.0
Argentina,46300000.0,1.0
Armenia,3000000.0,1.0
Austria,9200000.0,1.0
Azerbaijan,10200000.0,3.0
Bahamas,400000.0,0.0
Bahrain,1600000.0,1.0
Bangladesh,173500000.0,1.0
Barbados,300000.0,0.0
Belarus,9200000.0,5.0
Belgium,11800000.0,1.0
Belize,500000.0,0.0
Benin,13700000.0,0.0
Bhutan,800000.0,0.0
Bolivia,12200000.0,2.0
Bosnia Herzegovina,3400000.0,2.0
Botswana,2700000.0,0.0
Brazil,204000000.0,6.0
Bulgaria,6400000.0,3.0
Burkina Faso,22900000.0,2.0
Myanmar,55400000.0,2.0
Burundi,13200000.0,3.0
Cambodia,17000000.0,1.0
Cameroon,28100000.0,2.0
Cape Verde,600000.0,0.0
Central African Republic,6200000.0,1.0
Chad,18300000.0,0.0
Chile,20000000.0,1.0
China,1411299999.9999,0.0
Colombia,52200000.0,1.0
Comoros,900000.0,0.0
Congo,6100000.0,0.0
Congo DR,102299999.9999,2.0
Costa Rica,5300000.0,1.0
Croatia,3800000.0,5.0
Cuba,11000000.0,6.0
Cyprus,1300000.0,0.0
Czechia,10900000.0,2.0
Djibouti,1100000.0,0.0
Dominican Republic,11300000.0,2.0
Timor Leste,1400000.0,0.0
Ecuador,17100000.0,0.0
Egypt,105200000.0,1.0
United Arab Emirates,9500000.0,2.0
Equatorial Guinea,1700000.0,0.0
Eritrea,3700000.0,0.0
Estonia,1400000.0,0.0
Ethiopia,126500000.0,2.0
Finland,5600000.0,2.0
France,65900000.00000001,5.0
Gabon,2400000.0,1.0
Gambia,2800000.0,0.0
Germany,84900000.0,5.0
Ghana,34100000.0,1.0
Greece,10600000.0,1.0
Grenada,100000.0,0.0
Guatemala,18100000.0,2.0
Guinea,14200000.0,1.0
Guyana,800000.0,1.0
Haiti,11600000.0,0.0
Honduras,9700000.0,0.0
Hungary,9600000.0,2.0
India,1428600000.0,0.0
Indonesia,278700000.0,15.0
Iran,89200000.0,3.0
Iraq,45500000.0,7.0
Israel,9800000.0,0.0
Italy,58800000.0,2.0
Cote d'Ivoire,30900000.0,0.0
Japan,124500000.0,2.0
Jordan,11400000.0,2.0
Kazakhstan,19900000.0,3.0
Kenya,55100000.0,3.0
Kosovo,1700000.0,4.0
Kuwait,4400000.0,0.0
Kyrgyzstan,6800000.0,1.0
Laos,7500000.0,0.0
Latvia,1900000.0,1.0
Lebanon,5400000.0,1.0
Lesotho,2300000.0,0.0
Liberia,5400000.0,0.0
Libya,6900000.0,3.0
Lithuania,2900000.0000000005,4.0
Luxembourg,700000.0,2.0
North Macedonia,1799999.9999999998,1.0
Madagascar,30400000.0,1.0
Malawi,19800000.0,0.0
Malaysia,33400000.0,0.0
Maldives,600000.0,1.0
Mali,23300000.0,1.0
Malta,600000.0,0.0
Marshall Islands,100000.0,0.0
Mauritania,4900000.0,2.0
Federated States of Micronesia,100000.0,0.0
Moldova,3400000.0,1.0
Monaco,0.0,0.0
Mongolia,3500000.0,1.0
Montenegro,600000.0,3.0
Morocco,37000000.0,3.0
Mozambique,33900000.0,0.0
Namibia,2600000.0,0.0
Nepal,30900000.0,4.0
Nicaragua,6800000.0,0.0
Nigeria,223800000.0,6.0
Niger,27200000.0,0.0
Norway,5500000.0,0.0
Oman,5000000.0,0.0
Pakistan,240500000.0,4.0
Palestinian Territory,5500000.0,6.0
Panama,4500000.0,3.0
Papua New Guinea,9500000.0,1.0
Paraguay,6200000.0,0.0
Peru,33800000.0,5.0
Poland,37700000.0,7.0
Portugal,10500000.0,2.0
Qatar,2700000.0,0.0
Russia,146900000.0,9.0
Rwanda,14100000.0,2.0
St. Kitts and Nevis,100000.0,0.0
St. Lucia,200000.0,0.0
St. Vincent and the Grenadines,100000.0,0.0
El Salvador,6400000.0,3.0
Samoa,200000.0,0.0
Saudi Arabia,36900000.00000001,2.0
Senegal,18300000.0,0.0
Serbia,6600000.000000001,6.0
Seychelles,100000.0,0.0
Sierra Leone,8900000.0,0.0
Singapore,5800000.000000001,0.0
Slovakia,5400000.0,1.0
Slovenia,2100000.0,2.0
Solomon Islands,800000.0,0.0
Somalia,18100000.0,2.0
South Africa,60700000.0,8.0
South Sudan,11100000.0,3.0
Spain,48300000.0,18.0
Sri Lanka,22700000.0,5.0
Sudan,48100000.0,5.0
Sweden,10500000.0,2.0
Switzerland,8800000.0,7.0
Syria,23200000.000000004,2.0
Taiwan,23400000.0,0.0
Tajikistan,10200000.0,1.0
Tanzania,67400000.0,0.0
Thailand,66000000.0,5.0
Togo,9100000.0,0.0
Tonga,100000.0,0.0
Trinidad and Tobago,1400000.0,1.0
Tunisia,11900000.0,4.0
Turkey,85600000.0,0.0
Turkmenistan,7100000.0,0.0
Tuvalu,0.0,0.0
Uganda,48600000.0,1.0
Ukraine,36700000.0,8.0
Uruguay,3600000.0,1.0
Uzbekistan,36400000.0,0.0
Vanuatu,300000.0,0.0
Venezuela,28800000.0,1.0
Vietnam,98900000.0,2.0
Yemen,34400000.00000001,0.0
Zambia,20200000.0,0.0
Zimbabwe,16700000.0,0.0
