name,country,region,population
Majah Ha Adrif,Afghanistan,SOUTH ASIA,42.4
Haroon al-Afghani,Afghanistan,SOUTH ASIA,42.4
Tayyab Agha,Afghanistan,SOUTH ASIA,42.4
Khadija Zahra Ahmadi,Afghanistan,SOUTH ASIA,42.4
Aziza Ahmadyar,Afghanistan,SOUTH ASIA,42.4
Muqadasa Ahmadzai,Afghanistan,SOUTH ASIA,42.4
Mohammad Sarwar Ahmedzai,Afghanistan,SOUTH ASIA,42.4
Amir Muhammad Akhundzada,Afghanistan,SOUTH ASIA,42.4
Nasrullah Baryalai Arsalai,Afghanistan,SOUTH ASIA,42.4
Abdul Rahim Ayoubi,Afghanistan,SOUTH ASIA,42.4
Ismael Balkhi,Afghanistan,SOUTH ASIA,42.4
Abdul Baqi Turkistani,Afghanistan,SOUTH ASIA,42.4
Mohammad Ghous Bashiri,Afghanistan,SOUTH ASIA,42.4
Jan Baz,Afghanistan,SOUTH ASIA,42.4
Bashir Ahmad Bezan,Afghanistan,SOUTH ASIA,42.4
Rafiullah Bidar,Afghanistan,SOUTH ASIA,42.4
Mohammad Siddiq Chakari,Afghanistan,SOUTH ASIA,42.4
Cheragh Ali Cheragh,Afghanistan,SOUTH ASIA,42.4
Nasir Ahmad Durrani,Afghanistan,SOUTH ASIA,42.4
Muhammad Hashim Esmatullahi,Afghanistan,SOUTH ASIA,42.4
Ezatullah (Nangarhar),Afghanistan,SOUTH ASIA,42.4
Aimal Faizi,Afghanistan,SOUTH ASIA,42.4
Gajinder Singh Safri,Afghanistan,SOUTH ASIA,42.4
Sharif Ghalib,Afghanistan,SOUTH ASIA,42.4
Hashmat Ghani Ahmadzai,Afghanistan,SOUTH ASIA,42.4
Abdul Ghani Ghani,Afghanistan,SOUTH ASIA,42.4
Ghulam Ghaus,Afghanistan,SOUTH ASIA,42.4
Ghulam Muhammad Ghobar,Afghanistan,SOUTH ASIA,42.4
Mohammad Gul (Helmand Council),Afghanistan,SOUTH ASIA,42.4
Sayed Yousuf Halim,Afghanistan,SOUTH ASIA,42.4
Rangina Hamidi,Afghanistan,SOUTH ASIA,42.4
Sayed Zafar Hashemi,Afghanistan,SOUTH ASIA,42.4
Qutbuddin Hilal,Afghanistan,SOUTH ASIA,42.4
Mahboba Hoqomal,Afghanistan,SOUTH ASIA,42.4
Musa Hotak,Afghanistan,SOUTH ASIA,42.4
Mirza Muhammad Ismail,Afghanistan,SOUTH ASIA,42.4
Sayed Jalal,Afghanistan,SOUTH ASIA,42.4
Said Tayeb Jawad,Afghanistan,SOUTH ASIA,42.4
Sayed Jalal Karim,Afghanistan,SOUTH ASIA,42.4
Hafizullah Shabaz Khail,Afghanistan,SOUTH ASIA,42.4
Masoud Khalili,Afghanistan,SOUTH ASIA,42.4
Mohammad Khan (athlete),Afghanistan,SOUTH ASIA,42.4
Samoud Khan,Afghanistan,SOUTH ASIA,42.4
Baran Khan Kudezai,Afghanistan,SOUTH ASIA,42.4
Azizullah Lodin,Afghanistan,SOUTH ASIA,42.4
Razaq Mamoon,Afghanistan,SOUTH ASIA,42.4
Fazel Ahmed Manawi,Afghanistan,SOUTH ASIA,42.4
Moeen Marastial,Afghanistan,SOUTH ASIA,42.4
Ahmad Wali Massoud,Afghanistan,SOUTH ASIA,42.4
Mohammad Daud Miraki,Afghanistan,SOUTH ASIA,42.4
Abdul Sattar Mirzakwal,Afghanistan,SOUTH ASIA,42.4
Abdul Karim Misaq,Afghanistan,SOUTH ASIA,42.4
Ali Mohammad (politician),Afghanistan,SOUTH ASIA,42.4
Nasruddin Mohseni,Afghanistan,SOUTH ASIA,42.4
Davood Moradian,Afghanistan,SOUTH ASIA,42.4
Zalmai Mujadidi,Afghanistan,SOUTH ASIA,42.4
Sardar Mohammad Nadir Naeem,Afghanistan,SOUTH ASIA,42.4
Daoud Naji,Afghanistan,SOUTH ASIA,42.4
Gholam Rabani Nasher,Afghanistan,SOUTH ASIA,42.4
Ghulam Faroq Nijrabi,Afghanistan,SOUTH ASIA,42.4
Zabih-U-llah Ghazi Noristani,Afghanistan,SOUTH ASIA,42.4
Mohammed Tahir Omar,Afghanistan,SOUTH ASIA,42.4
Mohammed Qalamuddin,Afghanistan,SOUTH ASIA,42.4
Ghulam Mohammad Rigi,Afghanistan,SOUTH ASIA,42.4
Ghulam Hassan Safi,Afghanistan,SOUTH ASIA,42.4
Hanifa Safi,Afghanistan,SOUTH ASIA,42.4
Mohammed Zia Salehi,Afghanistan,SOUTH ASIA,42.4
Abdul Majid Samim,Afghanistan,SOUTH ASIA,42.4
Saber Sangar,Afghanistan,SOUTH ASIA,42.4
Sayed Nasim Mihanparast,Afghanistan,SOUTH ASIA,42.4
Suhail Shaheen,Afghanistan,SOUTH ASIA,42.4
Fazal Hadi Shinwari,Afghanistan,SOUTH ASIA,42.4
Baktash Siawash,Afghanistan,SOUTH ASIA,42.4
Hasan Ali Sultani,Afghanistan,SOUTH ASIA,42.4
Mohammad Hashem Taufiqui,Afghanistan,SOUTH ASIA,42.4
