country,number_of_articles,number_of_high_quality_articles,population,articles_per_capita,high_quality_articles_per_capita
Afghanistan,85,3.0,42400000.0,2.0047169811320754e-06,7.075471698113207e-08
Albania,70,7.0,2700000.0,2.5925925925925925e-05,2.5925925925925925e-06
Algeria,71,1.0,46800000.0,1.5170940170940171e-06,2.1367521367521368e-08
Angola,58,2.0,36700000.0,1.5803814713896457e-06,5.449591280653951e-08
Antigua and Barbuda,33,0.0,100000.0,0.00033,0.0
Argentina,64,1.0,46300000.0,1.3822894168466522e-06,2.159827213822894e-08
Armenia,36,1.0,3000000.0,1.2e-05,3.3333333333333335e-07
Austria,75,1.0,9200000.0,8.152173913043478e-06,1.0869565217391305e-07
Azerbaijan,81,3.0,10200000.0,7.941176470588235e-06,2.941176470588235e-07
Bahamas,9,0.0,400000.0,2.25e-05,0.0
Bahrain,43,1.0,1600000.0,2.6875e-05,6.25e-07
Bangladesh,74,1.0,173500000.0,4.265129682997118e-07,5.7636887608069166e-09
Barbados,25,0.0,300000.0,8.333333333333333e-05,0.0
Belarus,39,5.0,9200000.0,4.239130434782608e-06,5.434782608695652e-07
Belgium,77,1.0,11800000.0,6.525423728813559e-06,8.47457627118644e-08
Belize,9,0.0,500000.0,1.8e-05,0.0
Benin,7,0.0,13700000.0,5.109489051094891e-07,0.0
Bhutan,44,0.0,800000.0,5.5e-05,0.0
Bolivia,27,2.0,12200000.0,2.213114754098361e-06,1.6393442622950818e-07
Bosnia Herzegovina,43,2.0,3400000.0,1.2647058823529412e-05,5.88235294117647e-07
Botswana,3,0.0,2700000.0,1.111111111111111e-06,0.0
Brazil,103,6.0,204000000.0,5.049019607843137e-07,2.9411764705882354e-08
Bulgaria,66,3.0,6400000.0,1.03125e-05,4.6875e-07
Burkina Faso,26,2.0,22900000.0,1.1353711790393014e-06,8.733624454148472e-08
Burundi,16,3.0,13200000.0,1.2121212121212122e-06,2.2727272727272726e-07
Cambodia,37,1.0,17000000.0,2.176470588235294e-06,5.882352941176471e-08
Cameroon,46,2.0,28100000.0,1.6370106761565837e-06,7.117437722419929e-08
Cape Verde,9,0.0,600000.0,1.5e-05,0.0
Central African Republic,15,1.0,6200000.0,2.4193548387096776e-06,1.6129032258064515e-07
Chad,21,0.0,18300000.0,1.1475409836065575e-06,0.0
Chile,59,1.0,20000000.0,2.95e-06,5e-08
China,16,0.0,1411299999.9999,1.133706511726857e-08,0.0
Colombia,78,1.0,52200000.0,1.4942528735632183e-06,1.9157088122605365e-08
Comoros,23,0.0,900000.0,2.5555555555555554e-05,0.0
Congo,31,0.0,6100000.0,5.0819672131147545e-06,0.0
