name,country,region,population,revision_id,article_quality
Majah Ha Adrif,Afghanistan,SOUTH ASIA,42400000.0,1233202991.0,Start
Haroon al-Afghani,Afghanistan,SOUTH ASIA,42400000.0,1230459615.0,B
Tayyab Agha,Afghanistan,SOUTH ASIA,42400000.0,1225661708.0,Start
Khadija Zahra Ahmadi,Afghanistan,SOUTH ASIA,42400000.0,1234741562.0,Stub
Aziza Ahmadyar,Afghanistan,SOUTH ASIA,42400000.0,1195651393.0,Start
Muqadasa Ahmadzai,Afghanistan,SOUTH ASIA,42400000.0,1235521766.0,Start
Mohammad Sarwar Ahmedzai,Afghanistan,SOUTH ASIA,42400000.0,1176429234.0,Start
Amir Muhammad Akhundzada,Afghanistan,SOUTH ASIA,42400000.0,1247931713.0,Start
Nasrullah Baryalai Arsalai,Afghanistan,SOUTH ASIA,42400000.0,1225385278.0,Start
Abdul Rahim Ayoubi,Afghanistan,SOUTH ASIA,42400000.0,1226326055.0,Start
Ismael Balkhi,Afghanistan,SOUTH ASIA,42400000.0,1244521219.0,Start
Abdul Baqi Turkistani,Afghanistan,SOUTH ASIA,42400000.0,1231655023.0,Stub
Mohammad Ghous Bashiri,Afghanistan,SOUTH ASIA,42400000.0,1237694188.0,Start
Jan Baz,Afghanistan,SOUTH ASIA,42400000.0,1227635806.0,Stub
Bashir Ahmad Bezan,Afghanistan,SOUTH ASIA,42400000.0,1248505877.0,Start
Rafiullah Bidar,Afghanistan,SOUTH ASIA,42400000.0,1197443408.0,Stub
Mohammad Siddiq Chakari,Afghanistan,SOUTH ASIA,42400000.0,1134129082.0,Stub
Cheragh Ali Cheragh,Afghanistan,SOUTH ASIA,42400000.0,1193992206.0,Start
Nasir Ahmad Durrani,Afghanistan,SOUTH ASIA,42400000.0,988838315.0,Stub
Muhammad Hashim Esmatullahi,Afghanistan,SOUTH ASIA,42400000.0,949986748.0,Stub
Ezatullah (Nangarhar),Afghanistan,SOUTH ASIA,42400000.0,1158302291.0,Stub
Aimal Faizi,Afghanistan,SOUTH ASIA,42400000.0,1185105938.0,Stub
Gajinder Singh Safri,Afghanistan,SOUTH ASIA,42400000.0,1212323536.0,Stub
Sharif Ghalib,Afghanistan,SOUTH ASIA,42400000.0,1245967190.0,Start
Hashmat Ghani Ahmadzai,Afghanistan,SOUTH ASIA,42400000.0,1207743719.0,C
Abdul Ghani Ghani,Afghanistan,SOUTH ASIA,42400000.0,1227026187.0,Stub
Ghulam Ghaus,Afghanistan,SOUTH ASIA,42400000.0,1158659195.0,Stub
Ghulam Muhammad Ghobar,Afghanistan,SOUTH ASIA,42400000.0,1240993642.0,Stub
Mohammad Gul (Helmand Council),Afghanistan,SOUTH ASIA,42400000.0,1136611354.0,Stub
Sayed Yousuf Halim,Afghanistan,SOUTH ASIA,42400000.0,1234514565.0,Stub
Rangina Hamidi,Afghanistan,SOUTH ASIA,42400000.0,1234743111.0,C
Sayed Zafar Hashemi,Afghanistan,SOUTH ASIA,42400000.0,1179137138.0,Start
Qutbuddin Hilal,Afghanistan,SOUTH ASIA,42400000.0,1246566795.0,Start
Mahboba Hoqomal,Afghanistan,SOUTH ASIA,42400000.0,1243745950.0,Stub
Musa Hotak,Afghanistan,SOUTH ASIA,42400000.0,1246566804.0,Start
Mirza Muhammad Ismail,Afghanistan,SOUTH ASIA,42400000.0,1235165845.0,C
Sayed Jalal,Afghanistan,SOUTH ASIA,42400000.0,1137130537.0,Start
Said Tayeb Jawad,Afghanistan,SOUTH ASIA,42400000.0,1248976824.0,C
Sayed Jalal Karim,Afghanistan,SOUTH ASIA,42400000.0,1136614743.0,Start
Hafizullah Shabaz Khail,Afghanistan,SOUTH ASIA,42400000.0,1238402857.0,Start
Masoud Khalili,Afghanistan,SOUTH ASIA,42400000.0,1246566971.0,GA
Mohammad Khan (athlete),Afghanistan,SOUTH ASIA,42400000.0,1247727443.0,Stub
Samoud Khan,Afghanistan,SOUTH ASIA,42400000.0,1195409073.0,Start
Baran Khan Kudezai,Afghanistan,SOUTH ASIA,42400000.0,1176481824.0,Start
Azizullah Lodin,Afghanistan,SOUTH ASIA,42400000.0,1247762293.0,Start
Razaq Mamoon,Afghanistan,SOUTH ASIA,42400000.0,1227180106.0,Start
Fazel Ahmed Manawi,Afghanistan,SOUTH ASIA,42400000.0,1234514379.0,Start
Moeen Marastial,Afghanistan,SOUTH ASIA,42400000.0,1246567093.0,Start
Ahmad Wali Massoud,Afghanistan,SOUTH ASIA,42400000.0,1221720658.0,Start
Mohammad Daud Miraki,Afghanistan,SOUTH ASIA,42400000.0,1227103354.0,C
Abdul Sattar Mirzakwal,Afghanistan,SOUTH ASIA,42400000.0,1145249317.0,Stub
Abdul Karim Misaq,Afghanistan,SOUTH ASIA,42400000.0,1235405154.0,Stub
Ali Mohammad (politician),Afghanistan,SOUTH ASIA,42400000.0,1136630194.0,Stub
Nasruddin Mohseni,Afghanistan,SOUTH ASIA,42400000.0,1136630129.0,Start
Davood Moradian,Afghanistan,SOUTH ASIA,42400000.0,1239319380.0,Stub
Zalmai Mujadidi,Afghanistan,SOUTH ASIA,42400000.0,1223903677.0,Start
Sardar Mohammad Nadir Naeem,Afghanistan,SOUTH ASIA,42400000.0,1204109653.0,Stub
Daoud Naji,Afghanistan,SOUTH ASIA,42400000.0,1247131367.0,Start
Gholam Rabani Nasher,Afghanistan,SOUTH ASIA,42400000.0,1136534788.0,Stub
Ghulam Faroq Nijrabi,Afghanistan,SOUTH ASIA,42400000.0,1136614778.0,Stub
Zabih-U-llah Ghazi Noristani,Afghanistan,SOUTH ASIA,42400000.0,1136614682.0,Start
Mohammed Tahir Omar,Afghanistan,SOUTH ASIA,42400000.0,1185088733.0,Stub
Mohammed Qalamuddin,Afghanistan,SOUTH ASIA,42400000.0,1178097642.0,Stub
Ghulam Mohammad Rigi,Afghanistan,SOUTH ASIA,42400000.0,1129192917.0,Stub
Ghulam Hassan Safi,Afghanistan,SOUTH ASIA,42400000.0,1176507815.0,Stub
Hanifa Safi,Afghanistan,SOUTH ASIA,42400000.0,1123824802.0,Stub
Mohammed Zia Salehi,Afghanistan,SOUTH ASIA,42400000.0,1225457074.0,Stub
Abdul Majid Samim,Afghanistan,SOUTH ASIA,42400000.0,1225425205.0,Stub
Saber Sangar,Afghanistan,SOUTH ASIA,42400000.0,1227951669.0,Stub
Sayed Nasim Mihanparast,Afghanistan,SOUTH ASIA,42400000.0,1172646418.0,Stub
Suhail Shaheen,Afghanistan,SOUTH ASIA,42400000.0,1198363158.0,Start
Fazal Hadi Shinwari,Afghanistan,SOUTH ASIA,42400000.0,1242412237.0,GA
Baktash Siawash,Afghanistan,SOUTH ASIA,42400000.0,1236603169.0,Stub
Hasan Ali Sultani,Afghanistan,SOUTH ASIA,42400000.0,1136614726.0,Stub
Mohammad Hashem Taufiqui,Afghanistan,SOUTH ASIA,42400000.0,1233490009.0,Start
Pacha Gul Wafadar,Afghanistan,SOUTH ASIA,42400000.0,1227179979.0,Stub
Wahidullah Waissi,Afghanistan,SOUTH ASIA,42400000.0,1232389768.0,C
Ahmadullah Wasiq,Afghanistan,SOUTH ASIA,42400000.0,1171042170.0,Start
Gul Ahmmad Yama,Afghanistan,SOUTH ASIA,42400000.0,1136614561.0,Start
Abdul Salam Zaeef,Afghanistan,SOUTH ASIA,42400000.0,1243758857.0,GA
Abdul Zahir (Konar Education Minister),Afghanistan,SOUTH ASIA,42400000.0,1126667481.0,Stub
Mohammed Zaman,Afghanistan,SOUTH ASIA,42400000.0,1229734414.0,Start
Ziauddin (Afghan militia leader),Afghanistan,SOUTH ASIA,42400000.0,1150044800.0,Start
Qari Ziauddin,Afghanistan,SOUTH ASIA,42400000.0,1245217124.0,Start
Abdul Ghafor Zori,Afghanistan,SOUTH ASIA,42400000.0,1136614520.0,Stub
Ali Pasha of Gusinje,Albania,SOUTHERN EUROPE,2700000.0,1244421894.0,GA
Ylli Asllani,Albania,SOUTHERN EUROPE,2700000.0,1221605713.0,Start
Azis Tahir Ajdonati,Albania,SOUTHERN EUROPE,2700000.0,1192928746.0,Stub
Bislim Bajgora,Albania,SOUTHERN EUROPE,2700000.0,1217284690.0,C
